Concept,Consensus,Shared_Factors_GCD,Extra_Factors_all-MiniLM-L6-v2,Extra_Factors_paraphrase-MiniLM-L3-v2
okapi,False,"[2, 3, 19, 29]","[13, 23]",[17]
cur,False,"[2, 3, 19, 29]","[7, 17]","[5, 11, 23]"
consumer,False,"[2, 3, 5, 13, 19]","[23, 29]",[]
plot,False,"[3, 13, 17, 29]",[7],[19]
draba,False,[3],"[7, 13, 19]","[2, 5, 17, 23, 29]"
ectomorphy,False,"[13, 29]",[2],"[7, 11, 17, 19, 23]"
Lactuca,False,"[3, 5]","[7, 17, 19, 29]",[2]
warden,False,"[3, 5, 7, 11, 19, 29]",[13],[2]
iodotyrosine,False,"[13, 23, 29]","[3, 5, 7]","[17, 19]"
forebear,False,"[2, 3, 11, 19]","[7, 17, 29]",[5]
serape,False,"[2, 3, 5, 19, 29]",[7],"[11, 23]"
carjacking,False,"[2, 11, 13, 17, 23, 29]","[3, 7, 19]",[]
crapulence,False,"[2, 3, 5, 11, 17, 29]",[7],"[13, 19, 23]"
scaffolding,False,[17],"[3, 5, 19]","[2, 7]"
ratch,False,"[3, 11, 17, 19, 29]","[2, 5]",[13]
vespers,False,"[2, 5, 13, 29]","[7, 11, 19]",[23]
orchotomy,False,"[2, 5, 13, 17, 19]","[3, 11]",[29]
sphere,False,"[7, 19, 29]","[2, 3, 13, 17]","[5, 11]"
Novial,False,"[2, 3, 5, 7, 29]","[11, 19]",[17]
acute,False,"[3, 5, 11, 29]",[],"[2, 13, 17, 19]"
possible,False,"[3, 5, 7, 11, 13, 19]",[29],"[2, 17]"
ridiculer,False,"[2, 7, 13, 17, 19, 29]","[3, 5]","[11, 23]"
Born,False,"[3, 13, 17, 19, 29]","[2, 11]",[5]
stockhorn,False,"[2, 3, 5, 7, 29]",[11],"[13, 19]"
Arhat,False,"[3, 5, 11, 17, 29]","[2, 7]",[]
snowshoe,False,"[2, 3, 17]","[5, 13, 19, 23]",[]
monody,False,"[2, 5, 19, 29]","[3, 11, 13]",[23]
focalisation,False,"[17, 19, 23, 29]",[5],"[3, 11]"
Varanus,False,"[3, 7, 11, 17, 29]","[2, 5, 19]","[13, 23]"
Amphiprion,False,"[2, 5, 11, 19, 29]",[],"[7, 17, 23]"
float,False,"[7, 13, 29]",[],"[2, 3, 11, 17, 19]"
pill,False,"[2, 3, 19]","[11, 17]","[5, 13, 23, 29]"
sloughing,False,"[3, 17]","[2, 7, 19, 29]","[5, 11]"
lecturer,False,"[3, 5, 19, 23]","[7, 17]","[2, 11, 29]"
roentgenogram,False,[29],[7],"[2, 11, 13, 17, 19]"
chinaware,False,"[2, 13, 19, 23, 29]",[5],"[3, 17]"
imago,False,[11],"[3, 13, 17, 29]","[2, 5, 7]"
movableness,False,"[2, 5, 11, 29]",[],"[3, 17]"
antibacterial,False,"[3, 13, 17]",[5],"[2, 7, 11]"
isocyanate,False,[29],"[5, 11]","[2, 17]"
Fula,False,"[3, 7, 29]",[],"[2, 5, 17, 19, 23]"
dillydallier,False,"[3, 11, 13, 19, 29]",[],"[7, 17, 23]"
Quakerism,False,"[2, 5, 13, 19, 29]","[3, 11, 17]",[]
colligation,False,"[3, 5, 11, 17]","[13, 19]",[29]
cetchup,False,"[2, 3]",[19],"[5, 17, 23, 29]"
Jude,False,"[2, 5, 11, 13]",[19],"[7, 29]"
gangsta,False,"[13, 29]","[3, 5]","[7, 17]"
cusk,False,"[2, 3, 7, 11, 17, 29]",[],"[19, 23]"
squama,False,"[3, 7, 13, 29]",[],"[11, 17, 19]"
ELA,False,"[3, 29]","[5, 7]","[2, 23]"
nelson,False,"[2, 3, 7, 19]","[5, 11, 13]","[17, 23]"
qi,False,"[3, 11, 29]",[19],"[2, 5, 7, 13]"
absolution,False,[7],"[3, 11, 29]","[13, 19]"
catch,False,[11],"[3, 29]",[19]
sawbill,False,"[3, 5, 29]",[13],"[17, 19]"
monohydrate,False,"[5, 29]",[],"[11, 13, 23]"
goof,False,"[3, 5, 13, 29]","[2, 7, 17]","[19, 23]"
brachydactyly,False,"[2, 11]",[29],"[3, 17, 19, 23]"
titer,False,"[2, 3, 5, 29]",[7],"[11, 19, 23]"
Bali,False,"[3, 17]","[5, 11]","[7, 19, 29]"
witch,False,"[2, 3, 19, 29]",[7],"[5, 17]"
cannery,False,"[2, 11, 13, 19, 29]",[7],"[5, 17]"
Rattigan,False,"[3, 11, 19, 29]","[2, 5, 23]",[17]
endurance,False,"[2, 3, 7, 13]","[5, 19, 29]","[11, 17]"
Ninurta,False,"[3, 5, 11, 29]","[2, 13, 17]",[23]
ruthfulness,False,"[2, 11, 13]","[3, 19]",[5]
asbestos,False,"[17, 29]","[3, 13]","[2, 7, 23]"
groundmass,False,"[17, 19]","[2, 3, 29]","[5, 7, 11, 13]"
argal,False,"[3, 29]","[5, 7, 11, 13]",[17]
nightfall,False,"[2, 3, 7, 11, 17, 19, 29]",[],[23]
Pyralis,False,"[7, 11, 19]","[5, 29]","[2, 3, 13, 17]"
Orono,False,"[2, 5, 29]","[11, 13]",[3]
dislodgement,False,"[3, 5, 11, 13, 19]",[17],"[23, 29]"
Cestum,False,"[3, 17, 19, 29]",[],[23]
eggs,False,"[11, 17, 19, 29]",[7],"[5, 23]"
Melissa,False,"[2, 3, 5, 13, 19]",[29],[23]
plaintiff,False,"[2, 3, 7]","[5, 11, 17]",[]
manifestation,False,"[2, 3, 5, 17, 19, 29]",[11],[7]
Chytridiomycetes,False,"[5, 29]",[],"[11, 13, 17]"
invariant,False,"[7, 13, 29]","[19, 23]","[2, 3, 5, 11, 17]"
cryptorchidism,False,"[5, 7, 11, 17, 19]","[3, 23]",[2]
stationariness,False,"[13, 29]","[11, 19]","[2, 3, 5, 17]"
exponent,False,"[13, 29]","[7, 17]","[3, 5, 11]"
Tentaculata,False,"[5, 7, 11, 19]",[29],[13]
Platonism,False,"[2, 5, 11, 13, 17]","[7, 19, 23, 29]",[]
kilocalorie,False,"[3, 5, 17, 23, 29]",[2],"[11, 13, 19]"
collards,False,"[5, 11, 19, 29]","[2, 3, 7, 13]",[]
proselyte,False,"[2, 19]","[3, 7, 13]",[5]
Madoqua,False,"[3, 17, 29]","[5, 11, 13]",[]
benzofuran,False,"[2, 3, 5, 17, 29]",[19],[]
Rembrandt,False,"[3, 17, 19, 29]","[2, 11, 13]",[]
tailgate,False,"[3, 17, 19, 29]",[],"[2, 5, 11, 13]"
Phyllocladaceae,False,"[5, 13, 29]",[],"[2, 3, 11, 17, 19, 23]"
pavis,False,"[17, 29]","[2, 3, 7, 11, 19]",[5]
orthicon,False,"[2, 3, 5, 19]","[7, 11, 13]",[17]
heterozygosity,False,"[5, 29]","[11, 13, 23]","[2, 17, 19]"
polyelectrolyte,False,"[5, 11, 23]",[],[7]
Zn,False,"[17, 19, 23, 29]","[2, 13]","[3, 5]"
dingbat,False,"[19, 29]","[5, 13]","[2, 3, 11]"
Colutea,False,"[3, 5]",[13],"[11, 23, 29]"
grapheme,False,[5],"[2, 3, 7, 13, 29]",[19]
instructions,False,"[2, 3, 19]","[7, 13]","[5, 17, 29]"
grapnel,False,"[5, 7, 19, 23, 29]",[3],"[11, 17]"
Vienna,False,"[2, 3, 7, 17, 29]",[19],[11]
soreness,False,"[2, 3, 5, 11, 13, 29]",[17],[23]
bareboating,False,"[2, 3, 19]","[5, 7]","[13, 23]"
polyamide,False,"[5, 19]",[3],"[13, 17, 29]"
planography,False,"[2, 13, 17, 29]",[23],"[3, 5]"
Dodgem,False,"[3, 19]","[5, 29]","[2, 7, 11, 17]"
Raphanus,False,"[3, 5, 19]","[2, 11, 29]",[7]
pageantry,False,"[2, 17, 19]","[3, 7, 11, 13]",[]
Camelus,False,"[2, 3, 5, 19]",[],"[7, 11, 23, 29]"
NSU,False,"[3, 5, 19, 29]","[2, 17]",[7]
celerity,False,"[3, 13, 29]","[7, 19]","[2, 5, 17, 23]"
lamprey,False,"[2, 5, 7, 19, 29]",[],"[11, 13, 23]"
gallus,False,"[5, 11, 29]",[7],"[3, 13, 17, 19]"
daleth,False,"[2, 3, 7, 13]","[11, 29]","[17, 19]"
nm,False,"[3, 19, 29]","[2, 5]",[17]
Bombina,False,"[2, 3, 17, 19, 29]",[],"[7, 23]"
corollary,False,"[11, 29]",[],"[2, 5, 19]"
estrone,False,"[3, 29]","[2, 5, 7, 11, 13]",[17]
Stilton,False,"[2, 5, 7, 19, 29]",[],"[3, 11, 13, 17]"
cahoot,False,"[2, 3, 5, 17]","[13, 29]","[11, 19]"
ribier,False,[2],"[3, 7, 17, 19, 29]","[5, 11]"
Millais,False,"[5, 19, 29]","[2, 3, 7]",[]
lorry,False,"[2, 3, 29]","[5, 7, 11, 19]",[17]
Maidu,False,"[2, 5, 7, 17, 19]",[13],"[3, 11, 23, 29]"
dogfish,False,"[2, 5, 11, 13, 17]","[3, 7]",[]
rifampin,False,"[3, 23]","[2, 5, 7, 11, 13, 29]",[17]
regur,False,"[3, 7, 23]","[2, 13, 29]","[5, 11, 19]"
glyceryl,False,"[2, 3, 5, 13, 29]",[],[23]
diddlysquat,False,"[5, 13, 19, 29]","[2, 3]",[17]
Arisarum,False,"[3, 7, 11, 17, 29]",[5],[19]
quartet,False,"[2, 5, 29]","[13, 19]",[7]
glue,False,"[5, 29]","[3, 7, 11, 13, 23]","[2, 17, 19]"
solfege,False,"[3, 5]","[7, 11, 23, 29]","[2, 17, 19]"
alchemist,False,"[2, 13, 29]",[],"[3, 5, 17, 23]"
Guenevere,False,"[2, 5, 7, 19]","[3, 29]","[11, 17]"
reveler,False,"[3, 5, 17, 29]","[2, 7]","[13, 19, 23]"
brocade,False,"[2, 3, 5, 17, 19, 29]",[],"[7, 11, 23]"
waltz,False,"[2, 5, 11, 13]","[7, 29]","[3, 19]"
coder,False,"[3, 19]","[7, 13, 29]","[2, 5, 11]"
onyx,False,"[2, 5, 13, 29]","[3, 7, 11]",[]
contemporary,False,"[2, 3, 5, 11, 19, 29]",[17],[13]
anthelminthic,False,"[2, 3, 11, 19]","[5, 13]","[17, 23]"
lanolin,False,[29],"[3, 5]","[2, 7, 17, 19, 23]"
telco,False,"[2, 3, 5, 29]","[13, 19]","[7, 23]"
ultracentrifugation,False,"[5, 29]","[7, 23]","[13, 17, 19]"
warlock,False,"[2, 3, 5, 7, 11, 19]",[23],[29]
serviceability,False,"[2, 3, 5, 13, 17, 19]",[],[23]
realgar,False,"[2, 5, 7, 11]",[29],"[3, 19]"
mantissa,False,"[2, 7, 17, 19, 29]",[11],"[3, 5, 23]"
headmaster,False,"[2, 5, 7, 19, 29]","[3, 11, 13]",[]
calpack,False,"[11, 13, 29]","[3, 7]",[5]
scandalisation,False,"[11, 17, 23, 29]","[2, 5, 19]",[3]
trespasser,False,"[2, 3, 7, 11, 19]",[5],[17]
fauld,False,"[2, 5, 17, 29]","[3, 7, 13, 23]",[19]
trisomy,False,"[5, 11, 13, 29]","[2, 3]","[17, 19]"
isomerase,False,"[5, 13, 29]",[7],"[11, 17, 23]"
Ovalipes,False,"[5, 13, 17, 19, 29]",[3],[11]
jamming,False,"[3, 13, 19, 29]",[17],"[2, 5, 11, 23]"
pedagogics,False,"[5, 19]","[3, 7, 23]","[11, 29]"
Pomatomus,False,"[5, 7, 11, 29]","[2, 3]","[17, 19, 23]"
fundamentals,False,[],"[13, 23, 29]","[2, 5, 11, 17]"
antler,False,"[2, 3, 5, 7, 13, 17, 19, 29]",[],"[11, 23]"
bass,False,"[3, 5, 7, 29]",[19],"[2, 11, 13]"
Hydrocharitaceae,False,"[5, 29]",[2],"[11, 13, 19]"
shear,False,"[2, 3, 5, 13]","[19, 29]","[7, 11]"
muscovite,False,[3],"[5, 11]","[2, 17, 19, 23]"
Phyllitis,False,"[2, 5, 13, 19, 29]",[11],"[17, 23]"
cuscus,False,"[3, 5]","[2, 13, 29]","[7, 11, 23]"
infield,False,"[2, 5, 7, 13, 19]","[3, 29]",[]
Dipodidae,False,"[11, 13]","[3, 5]","[7, 19]"
peewee,False,"[5, 11, 19, 23, 29]","[2, 3, 13, 17]",[]
jaggery,False,"[2, 3, 5, 29]",[17],"[7, 19]"
multiprocessor,False,"[2, 19]","[3, 7, 13]","[5, 11, 17, 23, 29]"
fatigue,False,"[3, 13, 19, 29]","[5, 17]","[7, 11, 23]"
Scleroderma,False,"[2, 3, 5, 7, 13, 17]","[11, 29]",[19]
fossilist,False,"[11, 17, 19, 29]",[3],"[2, 5, 13]"
Cordylidae,False,"[2, 5, 11, 13]","[3, 29]","[7, 17, 19]"
impedance,False,"[3, 5]",[],"[7, 11, 17]"
crusade,False,"[2, 3, 5, 7, 11, 13, 17, 23]","[19, 29]",[]
australopithecine,False,"[2, 5, 7, 11, 17, 29]",[],[19]
attire,False,"[2, 3, 5, 7, 13, 19]",[],[29]
Rhizopogon,False,"[17, 19, 29]","[3, 11]","[5, 13]"
descant,False,"[3, 19, 29]","[2, 7, 13]","[5, 11, 17]"
Cypriot,False,"[2, 5, 17]","[3, 11, 29]","[7, 19]"
brit,False,"[3, 5, 19, 29]","[2, 11, 17]",[]
Adalia,False,"[2, 3, 5, 7, 13, 29]",[11],[17]
wire,False,"[2, 3, 19, 29]",[7],[5]
inhumaneness,False,"[7, 11, 17, 19, 29]","[2, 5]",[]
chatroom,False,"[7, 29]","[3, 5]","[11, 19]"
violence,False,"[2, 3, 13, 17, 29]",[],"[7, 19]"
rhodonite,False,[11],"[3, 5, 13, 29]","[2, 17, 19]"
dysplasia,False,"[5, 13, 29]",[11],"[2, 3, 7, 17, 19, 23]"
indexer,False,"[2, 3, 5, 13, 19, 23, 29]","[7, 17]",[11]
sprig,False,"[3, 5, 11, 19]","[7, 29]",[23]
FET,False,"[3, 5, 29]",[23],"[17, 19]"
propagator,False,"[3, 5, 7, 17, 19, 23, 29]",[],"[2, 11]"
splenectomy,False,"[5, 7, 11, 13, 19]","[3, 29]","[2, 17, 23]"
arb,False,"[5, 11]","[2, 3, 17, 29]",[13]
opponent,False,"[2, 3, 7, 11, 19]","[17, 29]",[]
Saratoga,False,"[2, 3, 5, 7]","[17, 19, 23, 29]",[]
monarchist,False,"[2, 3, 7, 11, 17, 19, 29]",[5],[23]
bungee,False,"[3, 13, 19]","[17, 29]","[2, 5, 7, 11]"
Exodus,False,"[17, 19]",[7],"[3, 5, 11, 29]"
catecholamine,False,[5],"[2, 3, 19]","[13, 17, 23, 29]"
Kharkov,False,"[2, 11]",[3],"[5, 17, 29]"
Chassidism,False,"[2, 3, 5, 11, 19]","[7, 23, 29]",[]
rebuilding,False,"[3, 5, 19]","[7, 29]","[2, 13, 17]"
knowledge,False,"[3, 5, 11, 23, 29]",[],"[2, 7, 17, 19]"
Prima,False,"[2, 3, 5, 7, 19]","[11, 13, 29]",[]
postmark,False,"[3, 5, 7, 19]",[13],[2]
Haydn,False,"[2, 3, 5, 29]","[7, 17, 19]",[]
reelection,False,[19],"[3, 5, 7]",[]
chirography,False,[3],"[2, 13, 29]","[5, 19, 23]"
blackening,False,"[2, 3, 5, 19, 29]",[],[11]
hypoxia,False,"[2, 13, 17, 29]",[],"[3, 19, 23]"
workings,False,"[5, 11, 19, 29]","[3, 7, 13]","[2, 17]"
satire,False,"[5, 11, 17, 19]","[3, 13, 29]",[2]
gatherer,False,"[11, 17, 29]","[3, 5]","[19, 23]"
FAA,False,"[3, 19, 29]",[5],[17]
casuistry,False,"[2, 29]",[13],"[3, 5, 7, 11, 19]"
miller,False,"[2, 3, 13, 19, 29]",[7],[5]
vernacular,False,"[3, 5, 11, 19]",[29],[2]
premonition,False,"[3, 5, 11, 17, 19, 29]",[13],"[2, 7, 23]"
Belorussian,False,"[3, 11, 13, 29]",[5],"[7, 17, 23]"
substitute,False,"[3, 5, 7]",[],"[2, 11]"
bender,False,"[3, 5, 13]",[19],"[2, 29]"
Buchenwald,False,"[2, 3, 5, 11, 19]","[7, 29]",[17]
croquette,False,"[2, 3, 5]","[13, 29]",[]
horologe,False,"[2, 3, 5, 7, 13, 17, 19, 29]",[11],[]
serendipity,False,"[2, 5, 11, 29]","[3, 19]",[17]
tutelage,False,"[2, 3, 5]","[7, 11, 29]","[17, 23]"
Brunhild,False,"[5, 11]","[2, 3, 19, 29]","[7, 17]"
thaumatolatry,False,"[5, 17]","[2, 3, 11, 13]",[29]
sixpence,False,"[2, 3, 5, 11, 19]",[7],[]
cytogenetics,False,"[17, 29]","[3, 11, 13]",[5]
Manson,False,"[5, 7, 17, 19]","[2, 3, 11, 29]",[]
alp,False,"[3, 5, 13, 29]",[],"[17, 23]"
iamb,False,"[3, 13, 19]",[5],"[11, 17, 29]"
phoneme,False,"[3, 19, 29]",[5],"[2, 7, 13, 23]"
tremor,False,"[3, 17, 19, 29]","[2, 5, 13]",[7]
Pyrethrum,False,"[5, 19]","[3, 13, 29]","[2, 11, 17]"
WAC,False,"[3, 5, 17, 19]","[23, 29]",[]
Molech,False,"[3, 17, 29]","[2, 5, 11]","[19, 23]"
headman,False,"[2, 5, 11, 19]","[3, 13, 17]","[7, 23, 29]"
lacteal,False,"[2, 3, 5]","[7, 13, 17, 29]",[23]
tournedos,False,"[2, 3, 17, 19, 29]","[5, 7, 11, 13]",[23]
Webster,False,"[5, 29]","[2, 3, 11, 19]",[13]
Sioux,False,"[7, 13, 19]","[2, 3, 17]","[5, 11]"
Lophophora,False,"[2, 5, 11]",[3],"[13, 29]"
Callisto,False,"[3, 5, 17, 19, 29]",[2],[13]
Nichrome,False,"[5, 11, 29]","[2, 3, 13, 19]",[17]
prohibitionist,False,"[2, 3, 5, 29]","[11, 19]",[]
Quaker,False,"[2, 5, 13, 19]","[3, 11]",[29]
Floreal,False,"[2, 3, 13, 29]",[5],"[17, 23]"
Gujerat,False,"[5, 29]","[2, 3, 7]","[19, 23]"
noisiness,False,"[2, 3, 5, 11, 13, 17, 29]",[19],[]
doze,False,"[2, 13, 19]","[3, 7]","[17, 23, 29]"
uttermost,False,"[2, 5, 11, 17, 29]","[3, 19]",[]
inexactness,False,"[5, 17, 29]",[11],"[2, 7, 13]"
pain,False,"[2, 3, 5, 11, 17, 19]",[29],"[7, 13]"
discreteness,False,"[11, 13]",[19],"[2, 3, 5, 29]"
Elateridae,False,"[2, 11, 13, 29]","[3, 5, 7]",[19]
Amphisbaenia,False,"[3, 5, 29]",[11],"[2, 7, 17, 19, 23]"
inverter,False,"[3, 5, 19, 23, 29]",[7],"[2, 11, 17]"
battledore,False,"[2, 3, 7, 23, 29]",[17],[]
Hypentelium,False,"[5, 7, 13, 17, 29]","[2, 11]","[3, 19]"
luminary,False,"[3, 5, 19, 29]",[],"[2, 17, 23]"
misadventure,False,"[3, 5, 11, 17]",[29],"[2, 19]"
pyrethrum,False,"[5, 19]","[3, 13, 29]","[2, 11, 17]"
hydralazine,False,"[13, 23]","[2, 3, 5, 17]",[]
somewhere,False,"[3, 5, 11, 13, 17, 19]",[23],"[2, 29]"
fascia,False,"[3, 5, 13, 17, 29]",[2],"[7, 19]"
meld,False,"[3, 7, 11, 19, 29]","[2, 5]","[13, 23]"
GSPC,False,"[2, 5, 13, 19]","[3, 29]","[7, 11]"
celeriac,False,"[3, 29]","[7, 11, 13, 19]","[5, 17, 23]"
Algerian,False,"[3, 5, 7]",[],"[2, 17, 29]"
museum,False,"[2, 3, 7, 13, 19]",[5],"[11, 17, 29]"
Bacillariophyceae,False,"[5, 13, 19, 29]",[],[11]
purulence,False,"[2, 7, 13, 17, 29]",[3],"[5, 11, 19]"
nemertean,False,"[3, 5, 7, 17]","[2, 29]","[19, 23]"
congregation,False,"[3, 5, 7, 11, 13, 19, 29]",[],"[2, 17]"
Chaplin,False,"[2, 3, 5, 29]",[19],"[7, 17]"
Chelone,False,[29],"[3, 13, 17, 19]",[5]
Tuber,False,"[3, 5, 19, 29]","[2, 13, 17]","[11, 23]"
Capricornis,False,"[3, 5, 13, 17, 29]","[2, 11]",[19]
alveolus,False,"[3, 5, 13, 29]","[2, 7]","[11, 17, 19, 23]"
Echinocereus,False,"[11, 19, 29]","[2, 13]","[3, 7, 17, 23]"
spitz,False,"[5, 17, 29]",[],"[2, 19]"
forecastle,False,"[2, 3, 19, 29]","[5, 13, 17, 23]",[]
Galvani,False,"[3, 29]","[5, 7, 13, 19]","[2, 17, 23]"
Dominicus,False,"[2, 3, 5, 7, 11, 29]",[],[17]
dictatorship,False,"[11, 17, 19, 29]","[2, 3, 7]",[]
Argentina,False,"[3, 7, 17, 19]","[2, 5, 29]",[]
aerogenerator,False,"[2, 3, 5, 29]","[7, 13]","[11, 17, 23]"
luting,False,"[3, 5, 19, 29]",[7],"[2, 11, 13, 17]"
jaboticaba,False,"[2, 3, 5, 19]","[11, 17]",[23]
shadowing,False,"[2, 19]","[3, 7, 13, 17]","[5, 11, 23]"
Eucinostomus,False,"[3, 7, 13, 17, 29]","[2, 11]",[5]
qualification,False,"[3, 11, 17, 19]",[5],"[2, 29]"
cricketer,False,"[3, 5, 19]","[2, 17, 29]","[11, 23]"
latrine,False,"[11, 29]","[2, 3, 5, 7, 13, 19]","[17, 23]"
homosexuality,False,"[2, 5, 11, 17, 19, 23, 29]","[3, 13]",[]
Plantaginales,False,"[5, 11, 29]",[2],"[17, 19]"
Europeanisation,False,"[17, 29]","[2, 5, 7, 11, 19]",[13]
Lygus,False,"[2, 3, 5, 11, 13, 29]",[],"[17, 19, 23]"
none,False,"[19, 29]",[3],"[5, 13, 23]"
isoagglutinin,False,[],"[3, 7, 13, 29]","[2, 5, 17]"
Robespierre,False,"[2, 5, 7, 13, 19]","[3, 29]",[11]
Charlottetown,False,"[2, 3, 13, 17]",[19],"[7, 11, 23]"
assemblage,False,"[3, 5]",[],"[7, 17, 19]"
Podicipitiformes,False,"[5, 11, 29]",[2],"[19, 23]"
bridge,False,"[3, 17, 19, 29]",[],"[2, 5, 7, 11, 13]"
Darwin,False,"[17, 19]","[2, 3, 5, 11, 29]","[7, 13]"
taster,False,"[2, 3, 5, 19, 29]",[7],"[11, 23]"
sterilisation,False,[29],[7],"[3, 5, 11, 17, 23]"
eulogy,False,"[2, 5, 13, 17, 29]","[7, 11]",[]
embracing,False,"[2, 3, 5, 11]",[19],"[7, 13]"
burglary,False,"[3, 11]","[2, 19]","[7, 13, 17, 23, 29]"
multicollinearity,False,"[13, 19]","[2, 23]","[5, 29]"
equipage,False,"[2, 19]","[3, 5, 13, 29]",[]
Gymnasium,False,[7],"[2, 13, 17, 19]","[3, 5, 11]"
insulant,False,"[3, 5, 11, 29]","[2, 7, 13]","[19, 23]"
Alpinism,False,"[2, 5, 11, 17, 23, 29]","[3, 13]",[]
statute,False,"[2, 3, 7, 13, 17]","[11, 19, 29]",[]
lobularity,False,"[3, 13, 29]","[2, 11]","[5, 19]"
Schizophyta,False,"[5, 11, 19, 29]",[3],[17]
rissole,False,"[2, 5, 19, 29]","[3, 7, 13]","[11, 17, 23]"
foal,False,[],"[2, 3, 5]","[7, 11, 17, 19, 29]"
biquadrate,False,"[3, 5, 13]","[11, 29]",[17]
brashness,False,"[2, 3, 11, 17, 19]",[29],"[5, 13]"
Anglicanism,False,"[2, 5, 7, 11]","[3, 17, 19, 29]",[13]
Bardeen,False,"[2, 5]","[7, 19]","[3, 29]"
Tamiasciurus,False,"[2, 3, 5, 7, 19, 29]",[13],"[11, 23]"
robber,False,"[3, 7, 11, 13]","[2, 19]",[17]
Monitor,False,"[13, 19, 29]","[3, 5]","[11, 23]"
macromolecule,False,[5],"[7, 11, 23]",[17]
Alfred,False,"[2, 7, 11, 13]",[19],"[5, 17, 23, 29]"
fenestration,False,"[2, 3, 7, 19, 29]",[17],[23]
reprint,False,"[2, 5, 19]","[3, 7, 29]","[13, 17]"
shtikl,False,"[2, 17, 19, 29]","[3, 11]",[5]
patty,False,"[2, 13, 29]","[3, 7]","[5, 19]"
gryphon,False,"[11, 19]","[2, 3, 7, 23, 29]","[5, 17]"
lazarette,False,"[2, 3, 5, 11, 13, 17, 29]",[7],[23]
Byzantinism,False,"[5, 17, 19, 29]","[2, 3, 7, 11, 13, 23]",[]
biretta,False,"[3, 5, 13, 29]","[7, 11]",[]
buddleia,False,"[2, 5, 19, 29]","[3, 13, 17]","[7, 11]"
parosamia,False,"[3, 5, 17, 19]","[11, 29]","[7, 13]"
falls,False,"[3, 11, 19, 29]",[],"[7, 13, 17]"
lordship,False,"[2, 5, 7, 11, 17]",[19],[3]
Megaera,False,"[2, 13, 19]",[],"[3, 7, 17, 29]"
Anogramma,False,"[13, 17, 29]","[2, 3, 7]",[19]
sternutatory,False,"[2, 11]","[7, 29]","[5, 17, 23]"
SL,False,[3],"[5, 7, 19, 29]","[2, 17]"
emu,False,"[2, 7, 19]","[3, 13]","[5, 17, 29]"
heliotropism,False,"[5, 17, 29]","[2, 3, 11, 13]",[23]
strip,False,"[2, 13]","[3, 19]",[29]
chronometer,False,"[11, 29]",[13],"[3, 5, 17, 23]"
Tazicef,False,"[3, 5, 11, 29]","[7, 19]",[]
palatableness,False,"[3, 11, 13, 29]",[19],"[2, 5, 7]"
merchantability,False,"[2, 3, 5, 11, 13, 23]",[],[29]
skein,False,"[5, 11]",[3],"[2, 13, 17, 19, 29]"
ruddles,False,"[2, 5, 13, 19, 29]","[3, 7]","[17, 23]"
Niobrara,False,"[2, 3, 5, 11]",[],"[19, 23]"
syllogism,False,"[17, 19]","[3, 7, 13]","[2, 11, 23, 29]"
ddI,False,"[2, 19, 29]","[3, 5]",[]
plater,False,"[2, 5, 13, 19, 29]",[3],[23]
dyarchy,False,"[3, 5, 19]","[7, 11]","[2, 13, 17, 23, 29]"
domesticity,False,"[2, 3, 5, 11, 17, 29]","[19, 23]",[]
physicality,False,"[2, 11, 13]","[19, 23, 29]","[5, 17]"
unpalatableness,False,"[2, 3, 13, 29]","[17, 19]","[5, 11]"
whirlybird,False,"[5, 19, 29]","[2, 3, 13, 17]","[11, 23]"
esprit,False,"[3, 29]","[2, 7]","[17, 23]"
retrogression,False,"[5, 19]","[2, 7, 29]","[11, 17]"
Emmenthaler,False,"[2, 3, 5, 19, 29]",[7],"[11, 23]"
enlisting,False,"[7, 11]","[3, 19]",[]
boxcar,False,"[3, 11, 29]","[13, 19]","[2, 5, 17]"
Gemara,False,"[3, 19]","[5, 13, 29]",[2]
Carothers,False,"[2, 3, 13, 29]",[5],"[17, 23]"
olefine,False,"[5, 13, 19, 29]","[3, 7]",[2]
Cryptoprocta,False,"[11, 17, 19]","[3, 23, 29]","[2, 5]"
mango,False,"[5, 29]",[3],"[2, 7, 13, 19, 23]"
meeter,False,"[2, 3, 5, 11]",[17],"[7, 19, 29]"
Tajik,False,"[3, 5, 19]","[2, 11]","[17, 29]"
concrete,False,"[3, 5, 17]",[29],"[2, 7, 11, 13]"
pricket,False,"[5, 29]","[3, 11, 19]",[]
Cuban,False,"[3, 29]","[7, 11, 13]","[2, 5]"
hypo,False,[2],"[11, 13, 29]","[3, 5, 17, 19, 23]"
payday,False,"[2, 3, 5, 17]","[7, 11, 13, 23, 29]",[]
yagi,False,"[2, 3, 5, 7, 19, 29]","[13, 17]",[]
timecard,False,"[13, 19]","[7, 29]","[2, 3, 17]"
femur,False,"[2, 3, 11, 17]",[13],"[5, 7, 19]"
Hypopachus,False,"[2, 7, 11, 13]",[29],"[3, 5, 17, 19]"
groundberry,False,"[5, 13, 17, 19, 29]","[2, 3]",[7]
pollard,False,"[2, 3, 5, 17]","[13, 19, 29]",[]
Nicolson,False,"[2, 3, 5, 19, 29]","[7, 11, 13]",[23]
microcephalus,False,"[5, 13, 17]",[11],"[3, 7, 23, 29]"
bronchiolitis,False,"[2, 3, 5, 11, 17, 29]",[],"[7, 13, 19, 23]"
Pleurosorus,False,"[2, 29]","[5, 13]","[7, 11, 17, 23]"
